|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Cropland_km2,|__Total_RoadLength_m,|__Total_Area_km2,|__Total_Hospitals,|__Total_Markets,|__Total_Schools
,Denkyembour,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.93,,,4417997,,,
,Kwahu Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,112.98,,,23742254,,,
,Kwaebibirem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.57,,,8139382,,,
,Yilo Krobo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.61,,,4895641,,,
,Asuogyaman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7.36,,,7758301,,,
,Upper West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.09,,,3460159,,,
,Birim Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.84,,,5316826,,,
,Akwapem North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.16,,,6207587,,,
,Akyem Mansa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.46,,,6196158,,,
,Kwahu South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,14.91,,,5744248,,,
,New Juaben Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.05,,,1617282,,,
,Fanteakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,11.84,,,11134942,,,
,West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.87,,,4814098,,,
,Upper Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,15.82,,,8703916,,,
,Birim North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.41,,,5740294,,,
,Ayensuano,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.13,,,5052112,,,
,East Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.4,,,5148614,,,
,Suhum Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.1,,,3635100,,,
,Birim South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.54,,,7349555,,,
,Atiwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.71,,,11806901,,,
,Kwahu West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.3,,,4063522,,,
,Sekondi Takoradi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.32,,,1937253,,,
,Mpohor,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.9,,,5322369,,,
,Jomoro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.54,,,15109527,,,
,Shama,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.41,,,1957899,,,
,Ahanta West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.6,,,5600302,,,
,Wassa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.26,,,16660105,,,
,Nzema East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12.59,,,10955375,,,
,Wassa Amenfi Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.85,,,18674840,,,
,Wassa Amenfi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.54,,,15766388,,,
,Prestea / Huni Valley,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,7.05,,,18298124,,,
,Wassa Amenfi West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.53,,,14651751,,,
,Ellembelle,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.62,,,10063498,,,
,Tarkwa Nsuaem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,11.05,,,9151035,,,
,Nanumba North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,43.79,,,24361033,,,
,Karaga,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,248.43,,,30368793,,,
,Kpandai,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,59.62,,,22337955,,,
,Savelugu Nanton,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,207.26,,,20801727,,,
,Sagnerigu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.58,,,2045814,,,
,Zabzugu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,17.27,,,11262337,,,
,Tatale,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,13.63,,,11067419,,,
,Tamale North Sub Metro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.5,,,6601454,,,
,Gushiegu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,32.28,,,28706067,,,
,Kumbumgu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,220.95,,,15745377,,,
,Tolon,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,98.05,,,13820348,,,
,Saboba,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,184.75,,,17882283,,,
,Yendi Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,27.13,,,14758868,,,
,Nanumba South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,33.26,,,16895866,,,
,Mion,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,21.65,,,27695655,,,
,Gonja Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,218.68,,,76998417,,,
,East Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,191.46,,,74128963,,,
,West Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,51.37,,,48095328,,,
,North Gonja,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120.88,,,49490749,,,
,Sawla / Tuna / Kalba,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.95,,,43129056,,,
,Bole,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,11.66,,,62813752,,,
,Sene East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,117.87,,,44613307,,,
,Nkoranza North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.63,,,14088540,,,
,Sene West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,48.79,,,33149375,,,
,Atebubu Amantin,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.62,,,26667254,,,
,Pru,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,82.0,,,32755195,,,
,Techiman Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.13,,,6591213,,,
,Techiman North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.03,,,3955845,,,
,Kintampo South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.76,,,15383618,,,
,Kintampo North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,16.95,,,49745914,,,
,Nkoranza South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.62,,,9369363,,,
,West Mamprusi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,294.78,,,26714180,,,
,Mamprusi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,39.34,,,17470719,,,
,Chereponi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,100.43,,,14055604,,,
,Bunkpurugu Yonyo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24.21,,,12868217,,,
,Mamprugu Moagduri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,178.13,,,21702772,,,
,Nabdam,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.63,,,2518925,,,
,Garu Tempane,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,41.28,,,10871833,,,
,Kasena Nankana West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.22,,,8948338,,,
,Bolgatanga Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.22,,,4069429,,,
,Talensi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,39.59,,,8588704,,,
,Bawku West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,48.02,,,10978519,,,
,Pusiga,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.65,,,2622877,,,
,Bongo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.44,,,4244222,,,
,Bawku Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.84,,,2535520,,,
,Builsa South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,28.78,,,12712057,,,
,Builsa North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.12,,,8365082,,,
,Kasena Nankana East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,38.02,,,7860477,,,
,Binduri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,40.09,,,4018183,,,
,Lawra,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.68,,,5397142,,,
,Jirapa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.51,,,12164319,,,
,Nandom,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.94,,,4143700,,,
,Sissala East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,15.95,,,52162682,,,
,Wa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,17.89,,,43923899,,,
,Nadowli / Kaleo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.44,,,11574266,,,
,Daffiama Bussie,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.59,,,14897019,,,
,Sissala  West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,11.9,,,21006704,,,
,Wa Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.96,,,5924983,,,
,Lambussie Karni,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.09,,,8315789,,,
,Wa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.96,,,15236534,,,
,Ga West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.27,,,3000486,,,
,Ga Central Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.14,,,457886,,,
,Ledzokuku / Krowor,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.05,,,481314,,,
,Ada West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,8.27,,,3293324,,,
,Ashaiman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.01,,,187646,,,
,Shai Osu Doku,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.24,,,9801533,,,
,Kpone Katamanso,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.63,,,2427180,,,
,Tema Metropolis,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.36,,,888400,,,
,La Nkwantanang Madina,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.08,,,717343,,,
,Ga South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.42,,,3527804,,,
,Ningo Prampram,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.96,,,6277917,,,
,Ga East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.12,,,866821,,,
,Adenta,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.08,,,788626,,,
,Ada East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,14.48,,,2931508,,,
,La Dade Kotopon,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.59,,,364539,,,
,Accra Metropolis,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.5,,,1413127,,,
,Bia West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.05,,,13612806,,,
,Sefwi Bibiani / Anhwiaso Bekwai,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.37,,,8443013,,,
,Bodi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.47,,,6746630,,,
,Aowin,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.85,,,26396824,,,
,Sefwi Akontombra,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.47,,,11333506,,,
,Juabeso,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.68,,,12835254,,,
,Suaman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.7,,,4047759,,,
,Sefwi-Wiawso,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.34,,,10241930,,,
,Bia East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.03,,,8348380,,,
Settlement_Impacts,,,,,,,,,,,,
Hospital_Impacts,Jasikan,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Kadjebi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Nkwanta South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Krachi Nchumuru,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Nkwanta North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Krachi West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Biakoye,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Krachi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Dormaa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Banda,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Jaman South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Sunyani Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Jaman North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Berekum,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Dormaa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Wenchi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Sunyani West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Tain,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Dormaa Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asutifi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Asutifi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asunafo South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asunafo North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Tano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Tano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,North Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Akatsi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,South Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Agotime Ziope,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Adaklu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Ho West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Akatsi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ketu South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,4,,
,South Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Kpando Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,North Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Central Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Afadzato South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ketu North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Ho Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,4,,
,Hohoe Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Keta Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Asante Akim South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Sekyere Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Sekyere Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asante Akim North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Offinso Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Sekyere Kumawu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ahafo Ano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Sekyere South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asokore Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Amansie Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ejisu Juaben,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Bosome Freho,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Obuasi Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Atwima Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Kma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,19,,
,Asante Akim Central Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Amansie West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ahafo Ano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Ejura Sekye Dumase,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Adansi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Atwima Mponua,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Adansi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Atwima Nwabiagya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,4,,
,Bekwai Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Bosomtwe / Atwima / Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Afigya Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Offinso North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Sekyere East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Cape Coast Metro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1,,,,6,,
,Agona East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Upper Denkyira West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Twifo Ati-Morkwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Awutu Senya East Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ajumako / Enyan / Esiam,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Gomoa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Abura / Asebu / Kwamankese,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Asikuma / Odoben / Brakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Agona West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Twifo Lower Denkyira,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Upper Denkyira East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Awutu Senya West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Komenda Edna Eguafo / Abirem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Assin South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Assin North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Mfantsiman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Effutu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Ekumfi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Gomoa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Akwapem South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Lower Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Kwahu East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Nsawam Adoagyiri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Kwahu Afram Plains South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Denkyembour,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Kwahu Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Kwaebibirem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Yilo Krobo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Asuogyaman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Upper West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Birim Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1,,,,1,,
,Akwapem North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Akyem Mansa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Kwahu South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,New Juaben Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Fanteakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Upper Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Birim North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Ayensuano,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,East Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Suhum Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Birim South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Atiwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Kwahu West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,8,,
,Sekondi Takoradi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,5,,
,Mpohor,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Jomoro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Shama,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Ahanta West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Wassa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Nzema East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Wassa Amenfi Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Wassa Amenfi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Prestea / Huni Valley,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,0,,
,Wassa Amenfi West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
,Ellembelle,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,3,,
,Tarkwa Nsuaem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,8,,
,Nanumba North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,1,,
,Karaga,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,,,2,,
